Timestamp,Protocol,Source IP,Source Port,Destination IP,Destination Port,Packet Size,TCP Flags
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:05,UDP,192.168.1.111,56788,159.124.61.107,8801,193,-
2026-08-30 14:14:05,TCP,159.124.61.107,443,192.168.1.111,52091,126,PA
2026-08-30 14:14:05,TCP,192.168.1.111,52091,159.124.61.107,443,97,PA
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,56788,781,-
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,56788,773,-
2026-08-30 14:14:05,TCP,159.124.61.107,443,192.168.1.111,52091,60,A
2026-08-30 14:14:05,TCP,159.124.61.107,443,192.168.1.111,52091,60,A
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,91,-
2026-08-30 14:14:05,TCP,159.124.61.107,443,192.168.1.111,52091,133,PA
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:05,TCP,192.168.1.111,52091,159.124.61.107,443,97,PA
2026-08-30 14:14:05,TCP,159.124.61.107,443,192.168.1.111,52091,103,PA
2026-08-30 14:14:05,TCP,192.168.1.111,52091,159.124.61.107,443,121,PA
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,444,-
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,435,-
2026-08-30 14:14:05,TCP,159.124.61.107,443,192.168.1.111,52091,60,A
2026-08-30 14:14:05,TCP,159.124.61.107,443,192.168.1.111,52091,92,PA
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,445,-
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,461,-
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,56788,852,-
2026-08-30 14:14:05,TCP,192.168.1.111,52091,159.124.61.107,443,54,A
2026-08-30 14:14:05,UDP,159.124.61.107,8801,192.168.1.111,64291,455,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,443,-
2026-08-30 14:14:06,TCP,20.184.175.4,443,192.168.1.111,56731,66,A
2026-08-30 14:14:06,TCP,20.184.175.4,443,192.168.1.111,56731,157,PA
2026-08-30 14:14:06,TCP,20.184.175.4,443,192.168.1.111,56731,54,A
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,428,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,407,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,56788,1052,-
2026-08-30 14:14:06,TCP,159.124.61.107,443,192.168.1.111,52091,60,A
2026-08-30 14:14:06,TCP,20.184.175.16,443,192.168.1.111,49366,56,A
2026-08-30 14:14:06,TCP,20.184.175.4,443,192.168.1.111,56731,572,FPA
2026-08-30 14:14:06,TCP,192.168.1.111,56731,20.184.175.4,443,54,A
2026-08-30 14:14:06,TCP,159.124.61.107,443,192.168.1.111,52091,60,A
2026-08-30 14:14:06,TCP,192.168.1.111,56731,20.184.175.4,443,78,PA
2026-08-30 14:14:06,TCP,192.168.1.111,56731,20.184.175.4,443,54,FA
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,468,-
2026-08-30 14:14:06,TCP,159.124.61.107,443,192.168.1.111,52091,60,A
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,501,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,56788,817,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,56788,817,-
2026-08-30 14:14:06,UDP,192.168.1.111,56788,159.124.61.107,8801,193,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,421,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,56788,864,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,387,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,380,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,382,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,384,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,496,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,581,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,527,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,56788,1165,-
2026-08-30 14:14:06,TCP,20.184.175.4,443,192.168.1.111,56731,54,A
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,474,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,56788,864,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,455,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,56788,94,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:06,UDP,192.168.1.111,56788,159.124.61.107,8801,194,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,56788,998,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,447,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,432,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,56788,831,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,412,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,457,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,454,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,405,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,56788,569,-
2026-08-30 14:14:06,TCP,159.124.61.107,443,192.168.1.111,52091,120,PA
2026-08-30 14:14:06,TCP,192.168.1.111,52091,159.124.61.107,443,104,PA
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,410,-
